"TrialName","WID","ExpCostCondition","TimeCostCondition","Accurate","ShotAngle","ScoreEarned","NumExperiments","PlayTime","ShotTime","ScoreRemaining","WasIntro","TrialOrder","TimedOutShot","ScoreOut","FocusLost","ExpCost","ReconstructedTime","GuessPct"
"easy_1","worker_43","Cheap",6,"True",-0.470404262937,67,1,4568,1289,67,"False",0,"False","False","False",10,3.83333333333333,0.42
"easy_1","worker_14","Cheap",6,"True",-0.401760926133,95,0,4566,1408,95,"False",3,"False","False","False",10,0.833333333333333,0.42
"easy_1","worker_47","Cheap",6,"True",-0.274053547983,93,0,1391,1258,93,"False",13,"False","False","False",10,1.16666666666667,0.42
"easy_1","worker_17","Costly",6,"True",-0.477932351588,85,0,2622,2116,85,"False",11,"False","False","False",20,2.5,0.42
"easy_1","worker_62","Cheap",6,"True",-0.279223019777,89,0,2057,1277,89,"False",15,"False","False","False",10,1.83333333333333,0.42
"easy_1","worker_60","Cheap",6,"True",-0.270736324026,84,0,2745,1696,84,"False",5,"False","False","False",10,2.66666666666667,0.42
"easy_1","worker_16","Cheap",6,"True",-0.161266709337,95,0,939,1784,95,"False",6,"False","False","False",10,0.833333333333333,0.42
"easy_1","worker_8","Cheap",6,"True",-0.252926472653,91,0,1615,1999,91,"False",8,"False","False","False",10,1.5,0.42
"easy_1","worker_56","Cheap",6,"True",-0.338455444285,62,1,5372,824,62,"False",2,"False","False","False",10,4.66666666666667,0.42
"easy_2","worker_27","Costly",6,"True",-1.6633879566,86,0,2530,807,86,"False",8,"False","False","False",20,2.33333333333333,0.84
"easy_2","worker_3","Costly",6,"True",1.70049886395,28,2,6147,796,28,"False",0,"False","False","False",20,5.33333333333333,0.84
"easy_2","worker_59","Cheap",6,"True",-2.04834572141,90,0,1740,763,90,"False",0,"False","False","False",10,1.66666666666667,0.84
"easy_2","worker_52","Costly",6,"True",-1.49159725583,90,0,6572,1762,90,"False",6,"False","False","False",20,1.66666666666667,0.84
"easy_2","worker_19","Costly",6,"True",-1.0851742335,92,0,1491,674,92,"False",5,"False","False","False",20,1.33333333333333,0.84
"easy_2","worker_64","Cheap",6,"True",-1.63887278505,96,0,897,463,96,"False",10,"False","False","False",10,0.666666666666667,0.84
"easy_2","worker_43","Cheap",6,"True",-1.65317825739,90,0,1844,1114,90,"False",6,"False","False","False",10,1.66666666666667,0.84
"easy_2","worker_12","Cheap",6,"True",-1.7707892834,100,0,167,1080,100,"False",6,"False","False","False",10,0,0.84
"easy_2","worker_48","Cheap",6,"True",-1.61914571345,90,0,1912,870,90,"False",0,"False","False","False",10,1.66666666666667,0.84
"easy_2","worker_60","Cheap",6,"True",-1.67282179792,66,1,4890,885,66,"False",7,"False","False","False",10,4,0.84
"easy_2","worker_13","Costly",6,"True",-1.64274413311,92,0,1501,1151,92,"False",12,"False","False","False",20,1.33333333333333,0.84
"easy_2","worker_32","Cheap",6,"True",-1.6396528161,86,0,2547,1015,86,"False",12,"False","False","False",10,2.33333333333333,0.84
"easy_2","worker_24","Costly",6,"True",-1.13358706495,90,0,1803,1111,90,"False",17,"False","False","False",20,1.66666666666667,0.84
"easy_2","worker_55","Cheap",6,"True",-1.84933753619,92,0,1746,789,92,"False",5,"False","False","False",10,1.33333333333333,0.84
"easy_2","worker_45","Cheap",6,"True",-2.35619449019,82,1,1797,345,82,"False",2,"False","False","False",10,1.33333333333333,0.84
"easy_2","worker_47","Cheap",6,"True",-1.79332582914,91,0,1621,687,91,"False",4,"False","False","False",10,1.5,0.84
"easy_2","worker_7","Costly",6,"True",0.856705628183,61,1,3880,1014,61,"False",7,"False","False","False",20,3.16666666666667,0.84
"easy_2","worker_50","Cheap",6,"True",-1.83761239168,94,0,1187,813,94,"False",13,"False","False","False",10,1,0.84
"easy_2","worker_11","Cheap",6,"True",-1.6269171095,94,0,1155,729,94,"False",0,"False","False","False",10,1,0.84
"easy_2","worker_20","Cheap",6,"True",-1.72060878337,87,0,2217,2134,87,"False",16,"False","False","False",10,2.16666666666667,0.84
"easy_2","worker_53","Cheap",6,"True",-1.74183595226,95,0,937,1653,95,"False",4,"False","False","False",10,0.833333333333333,0.84
"easy_2","worker_17","Costly",6,"True",-1.8025557411,89,0,1993,789,89,"False",10,"False","False","False",20,1.83333333333333,0.84
"easy_2","worker_2","Cheap",6,"True",-1.7126933814,95,0,2465,650,95,"False",14,"False","False","False",10,0.833333333333333,0.84
"easy_2","worker_0","Cheap",6,"True",-1.26353751146,74,1,3073,1413,74,"False",6,"False","False","False",10,2.66666666666667,0.84
"easy_2","worker_26","Cheap",6,"True",-1.51529782155,92,0,1500,891,92,"False",11,"False","False","False",10,1.33333333333333,0.84
"easy_2","worker_44","Costly",6,"True",-1.54559158147,97,0,695,633,97,"False",16,"False","False","False",20,0.5,0.84
"easy_2","worker_51","Costly",6,"True",-1.7113723782,92,0,1444,839,92,"False",8,"False","False","False",20,1.33333333333333,0.84
"easy_2","worker_16","Cheap",6,"True",-1.46882565259,71,1,5630,942,71,"False",15,"False","False","False",10,3.16666666666667,0.84
"easy_2","worker_14","Cheap",6,"True",-1.61424722219,91,0,3976,970,91,"False",1,"False","False","False",10,1.5,0.84
"easy_2","worker_63","Costly",6,"True",2.14684297832,71,1,2368,2168,71,"False",16,"False","False","False",20,1.5,0.84
"easy_2","worker_68","Cheap",6,"True",-1.53081763967,71,1,3692,940,71,"False",3,"False","False","False",10,3.16666666666667,0.84
"easy_2","worker_4","Costly",6,"True",-1.77164411689,96,0,763,1192,96,"False",1,"False","False","False",20,0.666666666666667,0.84
"easy_2","worker_8","Cheap",6,"True",-2.07232992372,93,0,1394,730,93,"False",12,"False","False","False",10,1.16666666666667,0.84
"easy_2","worker_61","Costly",6,"True",-1.58485162607,58,1,4261,1464,58,"False",4,"False","False","False",20,3.66666666666667,0.84
"easy_2","worker_67","Costly",6,"True",-1.48262771496,93,0,1348,823,93,"False",10,"False","False","False",20,1.16666666666667,0.84
"easy_2","worker_25","Cheap",6,"True",-1.85335127926,95,0,952,1006,95,"False",11,"False","False","False",10,0.833333333333333,0.84
"easy_2","worker_23","Costly",6,"True",-1.55907811319,94,0,1107,828,94,"False",15,"False","False","False",20,1,0.84
"easy_2","worker_31","Costly",6,"True",-1.57538345058,92,0,3643,797,92,"False",10,"False","False","False",20,1.33333333333333,0.84
"easy_2","worker_21","Costly",6,"True",1.74355355304,69,1,2601,1104,69,"False",7,"False","False","False",20,1.83333333333333,0.84
"easy_2","worker_18","Cheap",6,"True",-1.55541292501,90,0,1768,1447,90,"False",16,"False","False","False",10,1.66666666666667,0.84
"easy_2","worker_10","Costly",6,"True",-1.7433068344,94,0,1192,1033,94,"False",7,"False","False","False",20,1,0.84
"easy_2","worker_46","Costly",6,"True",-1.34901535777,91,0,3436,564,91,"False",2,"False","False","False",20,1.5,0.84
"easy_2","worker_62","Cheap",6,"True",-1.76503732298,95,0,3868,544,95,"False",11,"False","False","False",10,0.833333333333333,0.84
"easy_2","worker_22","Cheap",6,"True",-1.61186910539,92,0,1469,1055,92,"False",5,"False","False","False",10,1.33333333333333,0.84
"easy_2","worker_15","Costly",6,"True",-1.68866842999,95,0,978,725,95,"False",13,"False","False","False",20,0.833333333333333,0.84
"easy_2","worker_65","Costly",6,"True",-1.92129295421,26,2,6464,803,26,"False",0,"False","False","False",20,5.66666666666667,0.84
"easy_2","worker_56","Cheap",6,"True",-1.73117177077,76,1,2773,732,76,"False",10,"False","False","False",10,2.33333333333333,0.84
"easy_2","worker_1","Costly",6,"True",-2.0372969951,93,0,1383,610,93,"False",1,"False","False","False",20,1.16666666666667,0.84
"easy_2","worker_28","Cheap",6,"True",-1.51204050408,85,1,1473,940,85,"False",12,"False","False","False",10,0.833333333333333,0.84
"easy_3","worker_45","Cheap",6,"True",-0.750929062398,93,0,1310,938,93,"False",11,"False","False","False",10,1.16666666666667,0.38
"easy_3","worker_28","Cheap",6,"True",-0.502497309869,95,0,5140,2416,95,"False",9,"False","False","False",10,0.833333333333333,0.38
"easy_3","worker_48","Cheap",6,"True",-0.864776477957,51,2,6204,961,51,"False",12,"False","False","False",10,4.83333333333333,0.38
"easy_3","worker_67","Costly",6,"True",-0.395301844885,92,0,1452,1109,92,"False",13,"False","False","False",20,1.33333333333333,0.38
"easy_3","worker_65","Costly",6,"False",-1.11016075688,-10,1,3643,763,64,"False",16,"False","False","False",20,2.66666666666667,0.38
"easy_3","worker_19","Costly",6,"True",-0.731537263855,89,0,1907,1133,89,"False",7,"False","False","False",20,1.83333333333333,0.38
"easy_3","worker_44","Costly",6,"True",-0.769006189089,96,0,803,1055,96,"False",17,"False","False","False",20,0.666666666666667,0.38
"easy_3","worker_17","Costly",6,"False",-0.252866849027,-10,0,1855,1177,90,"False",13,"False","False","False",20,1.66666666666667,0.38
"easy_3","worker_64","Cheap",6,"False",-0.478352431379,-10,0,843,2026,96,"False",9,"False","False","False",10,0.666666666666667,0.38
"easy_3","worker_51","Costly",6,"True",0.382673220958,66,1,3543,536,66,"False",16,"False","False","False",20,2.33333333333333,0.38
"easy_3","worker_10","Costly",6,"False",-1.07596974123,-10,1,5301,1243,57,"False",2,"False","False","False",20,3.83333333333333,0.38
"easy_3","worker_25","Cheap",6,"True",-0.546788840889,96,0,774,1992,96,"False",13,"False","False","False",10,0.666666666666667,0.38
"easy_3","worker_13","Costly",6,"True",-0.616436385248,60,1,7411,852,60,"False",1,"False","False","False",20,3.33333333333333,0.38
"easy_3","worker_50","Cheap",6,"True",-0.517487740974,89,0,2050,1264,89,"False",12,"False","False","False",10,1.83333333333333,0.38
"easy_3","worker_52","Costly",6,"True",0.866977709934,82,0,3199,2109,82,"False",10,"False","False","False",20,3,0.38
"easy_3","worker_61","Costly",6,"False",0.593085151904,-10,3,9510,2287,2,"False",3,"False","False","False",20,6.33333333333333,0.38
"easy_3","worker_27","Costly",6,"False",-0.945628847676,-10,1,5533,1098,55,"False",3,"False","False","False",20,4.16666666666667,0.38
"easy_3","worker_21","Costly",6,"False",-0.470183463647,-10,1,5072,2030,57,"False",6,"False","False","False",20,3.83333333333333,0.38
"easy_3","worker_7","Costly",6,"False",2.32988477294,-10,2,9693,1062,17,"False",16,"False","False","False",20,7.16666666666667,0.38
"easy_3","worker_18","Cheap",6,"True",-0.798910854411,92,0,1518,2936,92,"False",10,"False","False","False",10,1.33333333333333,0.38
"easy_3","worker_2","Cheap",6,"True",-0.649190947818,91,0,1663,1408,91,"False",13,"False","False","False",10,1.5,0.38
"easy_3","worker_8","Cheap",6,"False",-0.421323173084,-10,0,2113,1561,88,"False",11,"False","False","False",10,2,0.38
"easy_3","worker_32","Cheap",6,"False",-0.441293609609,-10,0,1516,1128,92,"False",13,"False","False","False",10,1.33333333333333,0.38
