9850545, easy_1,1.5,1,4,1,0.11,0.007,0.6
9850545, easy_1,2.25,0,2,0.914037836,0.11,0.007,0.6
7141488, easy_1,1.5,0,2,0.13195223,0.11,0.007,0.6
7141488, easy_1,2.25,0,2,0.549703254,0.11,0.007,0.6
312382, easy_1,1.5,1,2,0.142888657,0.11,0.007,0.6
312382, easy_1,2.25,0,1,0.544338881,0.11,0.007,0.6
6860236, easy_1,1.5,0,1,0.935315737,0.11,0.007,0.6
6860236, easy_1,2.25,0,2,1,0.11,0.007,0.6
98290, easy_1,1.5,1,1,0.149832138,0.11,0.007,0.6
98290, easy_1,2.25,0,1,0.662202549,0.11,0.007,0.6
2738341, easy_1,1.5,0,1,0.135438801,0.11,0.007,0.6
2738341, easy_1,2.25,1,4,0.503915002,0.11,0.007,0.6
1381109, easy_1,1.5,0,1,0.652693128,0.11,0.007,0.6
1381109, easy_1,2.25,0,1,0.146069996,0.11,0.007,0.6
8555288, easy_1,1.5,2,3,0.111111111,0.11,0.007,0.6
8555288, easy_1,2.25,1,4,0,0.11,0.007,0.6
9849845, easy_1,1.5,0,1,0.896337363,0.11,0.007,0.6
9849845, easy_1,2.25,1,4,0.411489461,0.11,0.007,0.6
379536, easy_1,1.5,1,3,0.535353535,0.11,0.007,0.6
379536, easy_1,2.25,1,5,0.645773082,0.11,0.007,0.6
4002663, easy_1,1.5,2,4,0.888102307,0.11,0.007,0.6
4002663, easy_1,2.25,0,1,0.55430949,0.11,0.007,0.6
9927431, easy_1,1.5,1,3,0.997148502,0.11,0.007,0.6
9927431, easy_1,2.25,0,2,0.904956065,0.11,0.007,0.6
9850545, easy_2,1.5,0,1,0.366631441,0.11,0.007,0.6
9850545, easy_2,2.25,0,2,0.410918917,0.11,0.007,0.6
7141488, easy_2,1.5,0,1,0.031852756,0.11,0.007,0.6
7141488, easy_2,2.25,0,1,0.769972347,0.11,0.007,0.6
312382, easy_2,1.5,0,1,0.303295642,0.11,0.007,0.6
312382, easy_2,2.25,0,1,0.408429499,0.11,0.007,0.6
6860236, easy_2,1.5,0,1,0.64267572,0.11,0.007,0.6
6860236, easy_2,2.25,0,1,0.659798509,0.11,0.007,0.6
98290, easy_2,1.5,0,1,0.897040895,0.11,0.007,0.6
